Species	Class	Superorder	Order	Family	Genus
Coturnix japonica	Aves	Neognathae	Galliformes	Phasianidae	Coturnix
Cricetulus griseus	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Cricetulus
Crocodylus porosus	Unclassified	Unclassified	Crocodylia	Crocodylidae	Crocodylus
Cuculus canorus	Aves	Neognathae	Cuculiformes	Cuculidae	Cuculus
Cynoglossus semilaevis	Actinopteri	Unclassified	Pleuronectiformes	Cynoglossidae	Cynoglossus
Danio rerio	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Danio
Dasypus novemcinctus	Mammalia	Xenarthra	Cingulata	Dasypodidae	Dasypus
Daubentonia madagascariensis	Mammalia	Euarchontoglires	Primates	Daubentoniidae	Daubentonia
Dipodomys ordii	Mammalia	Euarchontoglires	Rodentia	Heteromyidae	Dipodomys
Echinops telfairi	Mammalia	Afrotheria	Unclassified	Tenrecidae	Echinops
Egretta garzetta	Aves	Neognathae	Pelecaniformes	Ardeidae	Egretta
Eidolon helvum	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Eidolon
Elephantulus edwardii	Mammalia	Afrotheria	Macroscelidea	Macroscelididae	Elephantulus
Eptesicus fuscus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Eptesicus
Equus africanus asinus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
Equus caballus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
Erinaceus europaeus	Mammalia	Laurasiatheria	Insectivora	Erinaceidae	Erinaceus
Esox lucius	Actinopteri	Unclassified	Esociformes	Esocidae	Esox
Eurypyga helias	Aves	Neognathae	Gruiformes	Eurypygidae	Eurypyga
Falco peregrinus	Aves	Neognathae	Falconiformes	Falconidae	Falco
Felis catus	Mammalia	Laurasiatheria	Carnivora	Felidae	Felis
Ficedula albicollis	Aves	Neognathae	Passeriformes	Muscicapidae	Ficedula
Fukomys damarensis	Mammalia	Euarchontoglires	Rodentia	Bathyergidae	Fukomys
Fulmarus glacialis	Aves	Neognathae	Procellariiformes	Procellariidae	Fulmarus
Fundulus heteroclitus	Actinopteri	Atherinomorphae	Cyprinodontiformes	Fundulidae	Fundulus
Gadus morhua	Actinopteri	Unclassified	Gadiformes	Gadidae	Gadus
Galeopterus variegatus	Mammalia	Euarchontoglires	Dermoptera	Cynocephalidae	Galeopterus
Gallus gallus	Aves	Neognathae	Galliformes	Phasianidae	Gallus
Gasterosteus aculeatus	Actinopteri	Unclassified	Perciformes	Gasterosteidae	Gasterosteus
Gavia stellata	Aves	Neognathae	Gaviiformes	Gaviidae	Gavia
Gavialis gangeticus	Unclassified	Unclassified	Crocodylia	Gavialidae	Gavialis
Gekko japonicus	Unclassified	Lepidosauria	Squamata	Gekkonidae	Gekko
Geospiza fortis	Aves	Neognathae	Passeriformes	Thraupidae	Geospiza
Gorilla gorilla	Mammalia	Euarchontoglires	Primates	Hominidae	Gorilla
Haliaeetus albicilla	Aves	Neognathae	Falconiformes	Accipitridae	Haliaeetus
Haliaeetus leucocephalus	Aves	Neognathae	Falconiformes	Accipitridae	Haliaeetus
Haplochromis burtoni	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Haplochromis
Heterocephalus glaber	Mammalia	Euarchontoglires	Rodentia	Bathyergidae	Heterocephalus
Homo sapiens	Mammalia	Euarchontoglires	Primates	Hominidae	Homo
Hynobius chinensis	Amphibia	Batrachia	Caudata	Hynobiidae	Hynobius
Ictidomys tridecemlineatus	Mammalia	Euarchontoglires	Rodentia	Sciuridae	Ictidomys
Jaculus jaculus	Mammalia	Euarchontoglires	Rodentia	Dipodidae	Jaculus
Larimichthys crocea	Actinopteri	Unclassified	Unclassified	Sciaenidae	Larimichthys
Latimeria chalumnae	Unclassified	Unclassified	Coelacanthiformes	Coelacanthidae	Latimeria
Lepisosteus oculatus	Actinopteri	Unclassified	Semionotiformes	Lepisosteidae	Lepisosteus
Leptonychotes weddellii	Mammalia	Laurasiatheria	Carnivora	Phocidae	Leptonychotes
Leptosomus discolor	Aves	Neognathae	Coraciiformes	Leptosomidae	Leptosomus
Lipotes vexillifer	Mammalia	Laurasiatheria	Cetacea	Lipotidae	Lipotes
Loxodonta africana	Mammalia	Afrotheria	Proboscidea	Elephantidae	Loxodonta
Macaca fascicularis	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Macaca
Macaca mulatta	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Macaca
Macropus eugenii	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus
Manacus vitellinus	Aves	Neognathae	Passeriformes	Pipridae	Manacus
Mandrillus leucophaeus	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Mandrillus
Maylandia zebra	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Maylandia
Megaderma lyra	Mammalia	Laurasiatheria	Chiroptera	Megadermatidae	Megaderma
Meleagris gallopavo	Aves	Neognathae	Galliformes	Phasianidae	Meleagris
Melopsittacus undulatus	Aves	Neognathae	Psittaciformes	Psittaculidae	Melopsittacus
Merops nubicus	Aves	Neognathae	Coraciiformes	Meropidae	Merops
Mesitornis unicolor	Aves	Neognathae	Gruiformes	Mesitornithidae	Mesitornis
Mesocricetus auratus	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Mesocricetus
Microcebus murinus	Mammalia	Euarchontoglires	Primates	Cheirogaleidae	Microcebus
Microtus ochrogaster	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Microtus
Monodelphis domestica	Mammalia	Unclassified	Didelphimorphia	Didelphidae	Monodelphis
Mus musculus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
Mustela putorius furo	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Mustela
Myotis brandtii	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis
Myotis davidii	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis
Myotis lucifugus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis
Nannospalax galili	Mammalia	Euarchontoglires	Rodentia	Spalacidae	Nannospalax
Nasalis larvatus	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Nasalis
Neolamprologus brichardi	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Neolamprologus
Nipponia nippon	Aves	Neognathae	Pelecaniformes	Threskiornithidae	Nipponia
Nomascus leucogenys	Mammalia	Euarchontoglires	Primates	Hylobatidae	Nomascus
Nothobranchius furzeri	Actinopteri	Atherinomorphae	Cyprinodontiformes	Nothobranchiidae	Nothobranchius
Notophthalmus viridescens	Amphibia	Batrachia	Caudata	Salamandridae	Notophthalmus
Notothenia coriiceps	Actinopteri	Unclassified	Perciformes	Nototheniidae	Notothenia
Ochotona princeps	Mammalia	Euarchontoglires	Lagomorpha	Ochotonidae	Ochotona
Octodon degus	Mammalia	Euarchontoglires	Rodentia	Octodontidae	Octodon
Odobenus rosmarus	Mammalia	Laurasiatheria	Carnivora	Odobenidae	Odobenus
Opisthocomus hoazin	Aves	Neognathae	Opisthocomiformes	Opisthocomidae	Opisthocomus
Orcinus orca	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Orcinus
Oreochromis niloticus	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Oreochromis
Ornithorhynchus anatinus	Mammalia	Unclassified	Monotremata	Ornithorhynchidae	Ornithorhynchus
Orycteropus afer	Mammalia	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus
Oryctolagus cuniculus	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Oryctolagus
Oryzias latipes	Actinopteri	Atherinomorphae	Beloniformes	Adrianichthyidae	Oryzias
Otolemur garnettii	Mammalia	Euarchontoglires	Primates	Galagidae	Otolemur
Ovis aries	Mammalia	Laurasiatheria	Unclassified	Bovidae	Ovis
Pan troglodytes	Mammalia	Euarchontoglires	Primates	Hominidae	Pan
Panthera tigris altaica	Mammalia	Laurasiatheria	Carnivora	Felidae	Panthera
Papio anubis	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Papio
Pelecanus crispus	Aves	Neognathae	Pelecaniformes	Pelecanidae	Pelecanus
Pelodiscus sinensis	Unclassified	Unclassified	Testudines	Trionychidae	Pelodiscus
Peromyscus maniculatus bairdii	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Peromyscus
Petromyzon marinus	Unclassified	Unclassified	Petromyzontiformes	Petromyzontidae	Petromyzon
Phaethon lepturus	Aves	Neognathae	Pelecaniformes	Phaethontidae	Phaethon
Phalacrocorax carbo	Aves	Neognathae	Pelecaniformes	Phalacrocoracidae	Phalacrocorax
Phoenicopterus ruber	Aves	Neognathae	Phoenicopteriformes	Phoenicopteridae	Phoenicopterus
Picoides pubescens	Aves	Neognathae	Piciformes	Picidae	Picoides
Podiceps cristatus	Aves	Neognathae	Podicipediformes	Podicipedidae	Podiceps
Poecilia formosa	Actinopteri	Atherinomorphae	Cyprinodontiformes	Poeciliidae	Poecilia
Pongo abelii	Mammalia	Euarchontoglires	Primates	Hominidae	Pongo
Procavia capensis	Mammalia	Afrotheria	Hyracoidea	Procaviidae	Procavia
Propithecus coquereli	Mammalia	Euarchontoglires	Primates	Indriidae	Propithecus
Protobothrops mucrosquamatus	Unclassified	Lepidosauria	Squamata	Viperidae	Protobothrops
Pseudopodoces humilis	Aves	Neognathae	Passeriformes	Paridae	Pseudopodoces
Pterocles gutturalis	Aves	Neognathae	Ciconiiformes	Pteroclidae	Pterocles
Pteronotus parnellii	Mammalia	Laurasiatheria	Chiroptera	Mormoopidae	Pteronotus
Pteropus alecto	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus
Pteropus vampyrus	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus
Pundamilia nyererei	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Pundamilia
Pygoscelis adeliae	Aves	Neognathae	Sphenisciformes	Spheniscidae	Pygoscelis
Python bivittatus	Unclassified	Lepidosauria	Squamata	Pythonidae	Python
Rattus norvegicus	Mammalia	Euarchontoglires	Rodentia	Muridae	Rattus
Rhinolophus ferrumequinum	Mammalia	Laurasiatheria	Chiroptera	Rhinolophidae	Rhinolophus
Rhinopithecus roxellana	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Rhinopithecus
Rousettus aegyptiacus	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Rousettus
Saimiri boliviensis	Mammalia	Euarchontoglires	Primates	Cebidae	Saimiri
Sarcophilus harrisii	Mammalia	Unclassified	Dasyuromorphia	Dasyuridae	Sarcophilus
Sorex araneus	Mammalia	Laurasiatheria	Insectivora	Soricidae	Sorex
Stegastes partitus	Actinopteri	Unclassified	Unclassified	Pomacentridae	Stegastes
Struthio camelus	Aves	Palaeognathae	Struthioniformes	Struthionidae	Struthio
Sus scrofa	Mammalia	Laurasiatheria	Unclassified	Suidae	Sus
Taeniopygia guttata	Aves	Neognathae	Passeriformes	Estrildidae	Taeniopygia
Takifugu rubripes	Actinopteri	Unclassified	Tetraodontiformes	Tetraodontidae	Takifugu
Tarsius syrichta	Mammalia	Euarchontoglires	Primates	Tarsiidae	Tarsius
Tauraco erythrolophus	Aves	Neognathae	Musophagiformes	Musophagidae	Tauraco
Tetraodon nigroviridis	Actinopteri	Unclassified	Tetraodontiformes	Tetraodontidae	Tetraodon
Thamnophis sirtalis	Unclassified	Lepidosauria	Squamata	Colubridae	Thamnophis
Tinamus guttatus	Aves	Palaeognathae	Tinamiformes	Tinamidae	Tinamus
Trichechus manatus	Mammalia	Afrotheria	Sirenia	Trichechidae	Trichechus
Triturus carnifex	Amphibia	Batrachia	Caudata	Salamandridae	Triturus
Tupaia belangeri	Mammalia	Euarchontoglires	Scandentia	Tupaiidae	Tupaia
Tursiops truncatus	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Tursiops
Tyto alba	Aves	Neognathae	Strigiformes	Tytonidae	Tyto
Ursus maritimus	Mammalia	Laurasiatheria	Carnivora	Ursidae	Ursus
Vicugna pacos	Mammalia	Laurasiatheria	Unclassified	Camelidae	Vicugna
Xenopus tropicalis	Amphibia	Batrachia	Anura	Pipidae	Xenopus
Xiphophorus maculatus	Actinopteri	Atherinomorphae	Cyprinodontiformes	Poeciliidae	Xiphophorus
Zonotrichia albicollis	Aves	Neognathae	Passeriformes	Passerellidae	Zonotrichia
Condylura cristata	Mammalia	Laurasiatheria	Insectivora	Talpidae	Condylura
Camelus dromedarius	Mammalia	Laurasiatheria	Unclassified	Camelidae	Camelus
Camelus bactrianus	Mammalia	Laurasiatheria	Unclassified	Camelidae	Camelus
Bos mutus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Bos
Macaca nemestrina	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Macaca
Marmota marmota marmota	Mammalia	Euarchontoglires	Rodentia	Sciuridae	Marmota
Poecilia latipinna	Actinopteri	Atherinomorphae	Cyprinodontiformes	Poeciliidae	Poecilia
Poecilia mexicana	Actinopteri	Atherinomorphae	Cyprinodontiformes	Poeciliidae	Poecilia
Poecilia reticulata	Actinopteri	Atherinomorphae	Cyprinodontiformes	Poeciliidae	Poecilia
Salmo salar	Actinopteri	Unclassified	Salmoniformes	Salmonidae	Salmo
Sinocyclocheilus grahami	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Sinocyclocheilus
Miniopterus natalensis	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Miniopterus
Pantholops hodgsonii	Mammalia	Laurasiatheria	Unclassified	Bovidae	Pantholops
Physeter catodon	Mammalia	Laurasiatheria	Cetacea	Physeteridae	Physeter
Nestor notabilis	Aves	Neognathae	Psittaciformes	Psittacidae	Nestor
Apodemus sylvaticus	Mammalia	Euarchontoglires	Rodentia	Muridae	Apodemus
Capra aegagrus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Capra
Capreolus capreolus	Mammalia	Laurasiatheria	Unclassified	Cervidae	Capreolus
Cebus capucinus	Mammalia	Euarchontoglires	Primates	Cebidae	Cebus
Eulemur macaco	Mammalia	Euarchontoglires	Primates	Lemuridae	Eulemur
Manis pentadactyla	Mammalia	Laurasiatheria	Pholidota	Manidae	Manis
Mus caroli	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
Mus castaneus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
Mus pahari	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
Mus spretus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
Odocoileus virginianus	Mammalia	Laurasiatheria	Unclassified	Cervidae	Odocoileus
Tupaia chinensis	Mammalia	Euarchontoglires	Scandentia	Tupaiidae	Tupaia
Amazona aestiva	Aves	Neognathae	Psittaciformes	Psittacidae	Amazona
Lyrurus tetrix	Aves	Neognathae	Galliformes	Phasianidae	Lyrurus
Nanorana parkeri	Amphibia	Batrachia	Anura	Dicroglossidae	Nanorana
Anoplopoma fimbria	Actinopteri	Unclassified	Perciformes	Anoplopomatidae	Anoplopoma
Anser cygnoides	Aves	Neognathae	Anseriformes	Anatidae	Anser
Ara macao	Aves	Neognathae	Psittaciformes	Psittacidae	Ara
Myodes glareolus	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Myodes
Rhamphochromis esox	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Rhamphochromis
Anolis carolinensis	Unclassified	Lepidosauria	Squamata	Iguanidae	Anolis
Anguilla anguilla	Actinopteri	Unclassified	Anguilliformes	Anguillidae	Anguilla
Apalone spinifera	Unclassified	Unclassified	Testudines	Trionychidae	Apalone
Boleophthalmus pectinirostris	Actinopteri	Unclassified	Gobiiformes	Gobiidae	Boleophthalmus
Crotalus mitchellii pyrrhus	Unclassified	Lepidosauria	Squamata	Viperidae	Crotalus
Eulemur flavifrons	Mammalia	Euarchontoglires	Primates	Lemuridae	Eulemur
Giraffa camelopardalis tippelskirchi	Mammalia	Laurasiatheria	Unclassified	Giraffidae	Giraffa
Ophiophagus hannah	Unclassified	Lepidosauria	Squamata	Elapidae	Ophiophagus
Pantherophis guttatus	Unclassified	Lepidosauria	Squamata	Colubridae	Pantherophis
Thunnus orientalis	Actinopteri	Unclassified	Scombriformes	Scombridae	Thunnus
Vipera berus	Unclassified	Lepidosauria	Squamata	Viperidae	Vipera
Zosterops lateralis	Aves	Neognathae	Passeriformes	Zosteropidae	Zosterops
Crotalus horridus	Unclassified	Lepidosauria	Squamata	Viperidae	Crotalus
Pseudopleuronectes yokohamae	Actinopteri	Unclassified	Pleuronectiformes	Pleuronectidae	Pseudopleuronectes
Amphilophus citrinellus	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Amphilophus
Anguilla japonica	Actinopteri	Unclassified	Anguilliformes	Anguillidae	Anguilla
Cyprinodon nevadensis pectoralis	Actinopteri	Atherinomorphae	Cyprinodontiformes	Cyprinodontidae	Cyprinodon
Dicentrarchus labrax	Actinopteri	Unclassified	Unclassified	Moronidae	Dicentrarchus
Labeotropheus fuelleborni	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Labeotropheus
Pampus argenteus	Actinopteri	Unclassified	Scombriformes	Stromateidae	Pampus
Periophthalmodon schlosseri	Actinopteri	Unclassified	Gobiiformes	Gobiidae	Periophthalmodon
Anguilla rostrata	Actinopteri	Unclassified	Anguilliformes	Anguillidae	Anguilla
Cottus rhenanus	Actinopteri	Unclassified	Perciformes	Cottidae	Cottus
Cyprinodon variegatus	Actinopteri	Atherinomorphae	Cyprinodontiformes	Cyprinodontidae	Cyprinodon
Kryptolebias marmoratus	Actinopteri	Atherinomorphae	Cyprinodontiformes	Unclassified	Kryptolebias
Serinus canaria	Aves	Neognathae	Passeriformes	Fringillidae	Serinus
Takifugu flavidus	Actinopteri	Unclassified	Tetraodontiformes	Tetraodontidae	Takifugu
Cynops pyrrhogaster	Amphibia	Batrachia	Caudata	Salamandridae	Cynops
Cyprinus carpio	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Cyprinus
Ictalurus punctatus	Actinopteri	Characiphysae	Siluriformes	Ictaluridae	Ictalurus
Lates calcarifer	Actinopteri	Unclassified	Unclassified	Centropomidae	Lates
Lethenteron camtschaticum	Unclassified	Unclassified	Petromyzontiformes	Petromyzontidae	Lethenteron
Leuciscus waleckii	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Leuciscus
Leucoraja erinacea	Chondrichthyes	Batoidea	Rajiformes	Rajidae	Leucoraja
Mchenga conophoros	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Mchenga
Miichthys miiuy	Actinopteri	Unclassified	Unclassified	Sciaenidae	Miichthys
Periophthalmus magnuspinnatus	Actinopteri	Unclassified	Gobiiformes	Gobiidae	Periophthalmus
Pimephales promelas	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Pimephales
Pygocentrus nattereri	Actinopteri	Characiphysae	Characiformes	Serrasalmidae	Pygocentrus
Rhincodon typus	Chondrichthyes	Galeoidea	Orectolobiformes	Rhincodontidae	Unclassified
Scartelaos histophorus	Actinopteri	Unclassified	Gobiiformes	Gobiidae	Scartelaos
Scleropages formosus	Actinopteri	Unclassified	Osteoglossiformes	Osteoglossidae	Scleropages
Sebastes nigrocinctus	Actinopteri	Unclassified	Perciformes	Sebastidae	Sebastes
Sebastes rubrivinctus	Actinopteri	Unclassified	Perciformes	Sebastidae	Sebastes
Sinocyclocheilus rhinocerous	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Sinocyclocheilus
Xiphophorus couchianus	Actinopteri	Atherinomorphae	Cyprinodontiformes	Poeciliidae	Xiphophorus
Xiphophorus hellerii	Actinopteri	Atherinomorphae	Cyprinodontiformes	Poeciliidae	Xiphophorus
Ellobius lutescens	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Ellobius
Ellobius talpinus	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Ellobius
Manis javanica	Mammalia	Laurasiatheria	Pholidota	Manidae	Manis
Neotoma lepida	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Neotoma
Okapia johnstoni	Mammalia	Laurasiatheria	Unclassified	Giraffidae	Okapia
Mola mola	Actinopteri	Unclassified	Tetraodontiformes	Molidae	Mola
Sinocyclocheilus anshuiensis	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Sinocyclocheilus
Malaclemys terrapin terrapin	Unclassified	Unclassified	Testudines	Emydidae	Malaclemys
Rhinopithecus bieti	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Rhinopithecus
Ailuropoda melanoleuca	Mammalia	Laurasiatheria	Carnivora	Ursidae	Ailuropoda
Amazona vittata	Aves	Neognathae	Psittaciformes	Psittacidae	Amazona
Anas platyrhynchos	Aves	Neognathae	Anseriformes	Anatidae	Anas
Aquila chrysaetos canadensis	Aves	Neognathae	Falconiformes	Accipitridae	Aquila
Balaenoptera bonaerensis	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera
Bos taurus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Bos
Callithrix jacchus	Mammalia	Euarchontoglires	Primates	Cebidae	Callithrix
Canis familiaris	Mammalia	Laurasiatheria	Carnivora	Canidae	Canis
Cavia aperea	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia
Cavia porcellus	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia
Chlamydotis macqueenii	Aves	Neognathae	Gruiformes	Otididae	Chlamydotis
Choloepus hoffmanni	Mammalia	Xenarthra	Pilosa	Megalonychidae	Choloepus
Colinus virginianus	Aves	Neognathae	Galliformes	Odontophoridae	Colinus
Cricetulus griseus	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Cricetulus
Dasypus novemcinctus	Mammalia	Xenarthra	Cingulata	Dasypodidae	Dasypus
Echinops telfairi	Mammalia	Afrotheria	Unclassified	Tenrecidae	Echinops
Equus caballus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
Equus ferus przewalskii	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
Equus ferus thistlecreek	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
Erinaceus europaeus	Mammalia	Laurasiatheria	Insectivora	Erinaceidae	Erinaceus
Falco cherrug	Aves	Neognathae	Falconiformes	Falconidae	Falco
Felis catus	Mammalia	Laurasiatheria	Carnivora	Felidae	Felis
Gallus gallus	Aves	Neognathae	Galliformes	Phasianidae	Gallus
Gorilla gorilla	Mammalia	Euarchontoglires	Primates	Hominidae	Gorilla
Homo sapiens	Mammalia	Euarchontoglires	Primates	Hominidae	Homo
Homo sapiens	Mammalia	Euarchontoglires	Primates	Hominidae	Homo
Lemur catta	Mammalia	Euarchontoglires	Primates	Lemuridae	Lemur
Lepidothrix coronata	Aves	Neognathae	Passeriformes	Pipridae	Lepidothrix
Loxodonta africana	Mammalia	Afrotheria	Proboscidea	Elephantidae	Loxodonta
Macaca mulatta	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Macaca
Macropus eugenii	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus
Microcebus murinus	Mammalia	Euarchontoglires	Primates	Cheirogaleidae	Microcebus
Monodelphis domestica	Mammalia	Unclassified	Didelphimorphia	Didelphidae	Monodelphis
Mus musculus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
Mus musculus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
Mus musculus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
Mus musculus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
Mus musculus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
